iter	RMSE
0	73250.64427
1	69170.89458
2	65363.85995
3	62704.48269
4	60872.66245
5	59641.72205
6	57945.85666
7	57038.86025
8	56270.05983
9	55675.52879
10	55164.3042
11	54514.3481
12	54101.28606
13	53427.13758
14	53075.49821
15	52715.98763
16	52391.6723
17	52185.04866
18	51873.18911
19	51630.51515
20	51193.06096
21	51012.33184
22	50815.77604
23	50635.79536
24	50468.13772
25	50206.11169
26	50055.27586
27	49897.66568
28	49727.88933
29	49506.07237
30	49350.58817
31	49225.63372
32	49032.63072
33	48873.43181
34	48790.337
35	48672.72141
36	48528.95463
37	48426.42067
38	48276.10637
39	48073.65364
40	47952.98812
41	47792.85009
42	47637.38615
43	47456.42675
44	47275.63382
45	47191.6395
46	47050.68133
47	46904.10657
48	46792.54765
49	46654.22979
50	46560.47918
51	46436.42639
52	46330.70063
53	46199.36789
54	46096.76783
55	45937.51115
56	45870.36829
57	45786.83506
58	45719.20274
59	45645.81751
60	45542.57376
61	45458.35149
62	45294.7838
63	45086.63921
64	45019.09793
65	44918.05745
66	44800.40489
67	44675.30476
68	44578.93966
69	44465.19107
70	44364.8484
71	44293.62873
72	44194.57607
73	44123.01953
74	44045.14569
75	43944.10796
76	43862.07041
77	43776.1055
78	43694.38141
79	43543.70215
80	43467.8002
81	43345.07237
82	43279.44993
83	43136.52452
84	43023.06427
85	42963.675
86	42862.93586
87	42753.50874
88	42657.06763
89	42602.78716
90	42521.36334
91	42456.5448
92	42385.88451
93	42339.45381
94	42241.2549
95	42156.97227
96	42082.74588
97	42030.75434
98	41978.77404
99	41922.89201
100	41757.17259
101	41690.78913
102	41610.74319
103	41536.50666
104	41459.52444
105	41371.90293
106	41283.67249
107	41202.7081
108	41114.94535
109	41003.0641
110	40952.39787
111	40889.95573
112	40840.63158
113	40784.9322
114	40744.67117
115	40681.23204
116	40629.55283
117	40556.72312
118	40509.44581
119	40459.95272
120	40379.82696
121	40326.7367
122	40245.5487
123	40199.64022
124	40129.00536
125	40061.20291
126	39921.97018
127	39873.4543
128	39822.60585
129	39779.0922
130	39731.36764
131	39691.51082
132	39649.65911
133	39574.61258
134	39533.48312
135	39486.51667
136	39423.2648
137	39378.80252
138	39330.71055
139	39267.71094
140	39212.23977
141	39142.16969
142	39054.2168
143	38970.82729
144	38916.25654
145	38850.92238
146	38784.44224
147	38711.75123
148	38655.09425
149	38620.45269
150	38563.91424
151	38506.08589
152	38457.77366
153	38418.34665
154	38354.78752
155	38284.85241
156	38239.24683
157	38164.17926
158	38092.03333
159	38019.79513
160	37975.96565
161	37936.0682
162	37865.21518
163	37817.96736
164	37743.87332
165	37687.31105
166	37631.35471
167	37578.72664
168	37535.41755
169	37489.68438
170	37441.98022
171	37398.43081
172	37353.64511
173	37317.49623
174	37270.15623
175	37141.86308
176	37101.8403
177	37042.93383
178	37003.24043
179	36964.6432
180	36925.64688
181	36885.33755
182	36826.18139
183	36774.90024
184	36721.32498
185	36594.70073
186	36539.91451
187	36508.019
188	36456.76627
189	36405.20233
190	36340.88928
191	36305.60913
192	36260.9863
193	36226.68152
194	36194.5614
195	36153.6353
196	36130.09308
197	36081.14816
198	36050.37732
199	36013.18779
200	35974.78516
201	35930.07749
202	35877.17071
203	35838.11831
204	35797.44527
205	35726.59195
206	35691.111
207	35647.05644
208	35623.52671
209	35584.96969
210	35534.42363
211	35495.06661
212	35439.17049
213	35378.16097
214	35317.78226
215	35268.06701
216	35232.85918
217	35196.65346
218	35137.76374
219	35113.17409
220	35085.0211
221	35035.48802
222	34994.39987
223	34930.98544
224	34895.33084
225	34858.95828
226	34834.0571
227	34791.83115
228	34752.89165
229	34714.87506
230	34683.24561
231	34642.98322
232	34614.14735
233	34588.8911
234	34547.55383
235	34508.39738
236	34474.70336
237	34421.63173
238	34383.4256
239	34337.57697
240	34308.72214
241	34276.47835
242	34246.36209
243	34145.61171
244	34096.52643
245	34048.44111
246	33974.9796
247	33933.89623
248	33894.35061
249	33838.4455
250	33810.34495
251	33774.13779
252	33738.33633
253	33683.68525
254	33652.31304
255	33616.11967
256	33557.59145
257	33519.9241
258	33486.51541
259	33458.42523
260	33408.5728
261	33371.23754
262	33327.95645
263	33286.46424
264	33267.56879
265	33227.54974
266	33203.04235
267	33180.71435
268	33152.98092
269	33121.05811
270	33084.01057
271	33012.59308
272	32975.88183
273	32923.78753
274	32897.3334
275	32861.25132
276	32816.7889
277	32789.43045
278	32764.96457
279	32745.55423
280	32709.61932
281	32690.58971
282	32656.27393
283	32605.77089
284	32573.35382
285	32530.08809
286	32495.69714
287	32444.34523
288	32412.51823
289	32369.14913
290	32316.6205
291	32272.48649
292	32238.77668
293	32176.55078
294	32139.99844
295	32097.91877
296	32074.60132
297	32035.03139
298	32009.05521
299	31985.79962
