iter	Passed	Remaining
0	17	5114
1	31	4645
2	44	4401
3	56	4214
4	69	4100
5	79	3879
6	91	3827
7	101	3710
8	111	3599
9	120	3497
10	130	3435
11	142	3428
12	151	3353
13	163	3350
14	173	3291
15	182	3244
16	192	3211
17	202	3165
18	211	3134
19	221	3099
20	234	3111
21	243	3080
22	253	3053
23	262	3021
24	271	2990
25	283	2989
26	292	2960
27	302	2933
28	311	2909
29	320	2887
30	330	2865
31	339	2843
32	348	2823
33	358	2800
34	367	2783
35	377	2765
36	386	2745
37	395	2726
38	405	2710
39	418	2719
40	427	2703
41	437	2687
42	446	2671
43	456	2655
44	465	2637
45	474	2621
46	483	2604
47	493	2588
48	502	2573
49	511	2559
50	521	2548
51	531	2535
52	541	2525
53	552	2516
54	563	2509
55	574	2501
56	583	2489
57	593	2474
58	603	2463
59	612	2450
60	622	2437
61	631	2424
62	643	2421
63	653	2410
64	662	2396
65	672	2383
66	681	2370
67	691	2358
68	700	2346
69	710	2333
70	719	2319
71	728	2307
72	738	2296
73	747	2284
74	757	2271
75	766	2258
76	775	2246
77	784	2234
78	794	2221
79	803	2209
80	812	2197
81	822	2185
82	831	2173
83	840	2161
84	849	2148
85	858	2136
86	868	2125
87	877	2113
88	886	2101
89	895	2089
90	905	2079
91	915	2068
92	924	2057
93	933	2046
94	943	2036
95	953	2026
96	962	2014
97	971	2003
98	981	1992
99	990	1981
100	1002	1976
101	1012	1965
102	1022	1955
103	1031	1944
104	1040	1933
105	1050	1921
106	1059	1910
107	1068	1899
108	1077	1888
109	1089	1882
110	1099	1871
111	1108	1860
112	1118	1850
113	1127	1839
114	1136	1828
115	1146	1818
116	1156	1808
117	1166	1799
118	1177	1790
119	1187	1780
120	1197	1770
121	1206	1760
122	1216	1750
123	1226	1740
124	1236	1731
125	1246	1721
126	1256	1711
127	1266	1701
128	1276	1692
129	1286	1682
130	1295	1671
131	1305	1661
132	1315	1651
133	1325	1641
134	1334	1631
135	1344	1621
136	1354	1611
137	1363	1601
138	1373	1591
139	1383	1581
140	1393	1571
141	1403	1561
142	1413	1551
143	1423	1541
144	1432	1531
145	1443	1522
146	1453	1512
147	1463	1502
148	1473	1492
149	1483	1483
150	1492	1472
151	1502	1462
152	1512	1452
153	1521	1442
154	1531	1432
155	1542	1423
156	1552	1413
157	1561	1403
158	1571	1393
159	1581	1383
160	1591	1373
161	1601	1364
162	1611	1354
163	1621	1345
164	1631	1335
165	1641	1325
166	1651	1315
167	1661	1305
168	1671	1295
169	1681	1285
170	1691	1275
171	1701	1266
172	1711	1256
173	1721	1246
174	1731	1236
175	1742	1228
176	1752	1217
177	1762	1207
178	1771	1197
179	1781	1187
180	1791	1177
181	1801	1168
182	1811	1158
183	1821	1148
184	1831	1138
185	1841	1128
186	1851	1118
187	1860	1108
188	1870	1098
189	1880	1088
190	1890	1078
191	1900	1068
192	1909	1058
193	1919	1048
194	1929	1038
195	1938	1028
196	1948	1018
197	1958	1008
198	1967	998
199	1977	988
200	1986	978
201	1996	968
202	2006	958
203	2015	948
204	2025	938
205	2034	928
206	2044	918
207	2054	908
208	2063	898
209	2073	888
210	2083	878
211	2092	868
212	2103	859
213	2113	849
214	2123	839
215	2133	829
216	2143	819
217	2153	810
218	2163	800
219	2173	790
220	2183	780
221	2193	770
222	2203	760
223	2213	751
224	2223	741
225	2232	731
226	2242	721
227	2252	711
228	2262	701
229	2271	691
230	2281	681
231	2291	671
232	2300	661
233	2310	651
234	2320	641
235	2329	631
236	2340	622
237	2350	612
238	2360	602
239	2371	592
240	2381	582
241	2390	573
242	2400	563
243	2410	553
244	2420	543
245	2430	533
246	2440	523
247	2450	513
248	2460	503
249	2470	494
250	2480	484
251	2492	474
252	2503	465
253	2514	455
254	2525	445
255	2536	436
256	2551	426
257	2562	417
258	2573	407
259	2584	397
260	2595	387
261	2605	377
262	2616	368
263	2627	358
264	2637	348
265	2646	338
266	2656	328
267	2666	318
268	2676	308
269	2685	298
270	2697	288
271	2707	278
272	2717	268
273	2726	258
274	2736	248
275	2747	238
276	2757	228
277	2767	219
278	2777	209
279	2786	199
280	2796	189
281	2806	179
282	2815	169
283	2825	159
284	2834	149
285	2844	139
286	2854	129
287	2863	119
288	2873	109
289	2883	99
290	2893	89
291	2903	79
292	2912	69
293	2923	59
294	2933	49
295	2942	39
296	2952	29
297	2962	19
298	2971	9
299	2981	0
