Ids,Employer,Name,Salary,From,To,Experience,Schedule,Keys,Description,resume similarity
87787860,"{'id': '567928', 'name': 'TeamIdea (ООО ТИМИДЕЯ ГРУПП)', 'url': 'https://api.hh.ru/employers/567928', 'alternate_url': 'https://hh.ru/employer/567928', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/727949.png', '240': 'https://hhcdn.ru/employer-logo/727950.png', 'original': 'https://hhcdn.ru/employer-logo-original/173807.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=567928', 'accredited_it_employer': False, 'trusted': True}",Java-разработчик,False,,,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'fullDay', 'name': 'Полный день'}","['Jenkins', 'Redis', 'Kafka', 'Java', 'PostgreSQL', 'Linux', 'Spring', 'Hibernate', 'REST', 'Swagger']","TEAMIDEA :   аккредитования ИТ компания с офисами в России, Европе, Азии, оказывающая услуги по бизнес консалтингу, включая автоматизацию бизнес-процессов для лидеров сегмента средних и крупных компаний;   19 лет истории работы: внедрение, развитие, разработка собственных эксклюзивных решений;   мультивендорная компания с большой линейкой IT-услуг, один из лидеров внедрения продуктов ERP - 1С, SAP, решений по планированию - Relex, DataViva, продуктов BI, WMS и направления e-commerce;   головной офис в Москве, офисы в Воронеже, Белгороде, а также в Швейцарии, Словении и в ОАЭ.   Мы в поисках Java-разработчика в направление e-commerce Задачи:   Разрабатывать различное ПО для наших заказчиков;   Например: API, Backend для нагруженных сервисов.     Наши ожидания:   Java 11+, Spring, Hibernate;   PostgreSQL, MongoDb, Redis;   REST+Swagger;   Rabbit, Kafka;   JUnit 5, Testcontainers;   Jenkins, Vault, Artifactory, Gitlab-ci, Ansible;   Опыт разработки микросервисов;   Понимание и умение (хотя бы на базовом уровне) в создании Docker-образов и принципов настройки CI/CD;   Умение применять принципы SOLID, Clean сode   Linux (в идеале – CentOS или Red Hat);   Опыт разработки от 3х лет.   Будет плюсом:    Активное участие в жизни сообщества (JPoint, Jocker, Open Source Contribution);   Опыт обучения менее опытных сотрудников;   Участие в разработки архитектуры приложений;   Работа с API (и Mobile API).   Мы предлагаем:  Бессрочный трудовой договор в штате компании или фриланс через ИП/самозанятость с полной 100% загрузкой; полное соблюдение ТК РФ («белая» заработная плата, соблюдение всех социальных гарантий, аккредитованная IT-компания); Конкурентный уровень заработной платы, ежегодный пересмотр грейда сотрудника и уровня оплаты на основании ассессмента, проектные премии по результатам; Возможность удаленного формата работы, такая практика существует много лет и хорошо функционирует, возможность гибкого режима работы; Доплата по больничным до уровня 100% оклада, также 1 день ежеквартально можно брать оплачиваемый отгул (дополнительные выходные) для решения личных вопросов; Успешно существует практика обучения и развития внутри компании: программа наставничества, индивидуальные планы развития для каждого сотрудника, сертификация, курсы, возможность компенсации стоимости внешнего обучение 50% (например, языковые курсы), участие в профессиональных встречах и др.; Работа в команде профессионалов над амбициозными проектамиРеальные перспективы профессионального и карьерного развития; Сильная репутация компании и международные стандарты работы. ",0.0
88997827,"{'id': '1549695', 'name': 'Л-КАРД', 'url': 'https://api.hh.ru/employers/1549695', 'alternate_url': 'https://hh.ru/employer/1549695', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/890475.png', '90': 'https://hhcdn.ru/employer-logo/4002587.png', '240': 'https://hhcdn.ru/employer-logo/4002588.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1549695', 'accredited_it_employer': False, 'trusted': True}",Программист микроконтроллеров изделий промышленной электроники,False,,,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'fullDay', 'name': 'Полный день'}","['Linux', 'Qt', 'Git', 'Разработка ПО', 'C/C++', 'Asm', 'ARM', 'AVR', 'РЭА', 'радиоэлектроника', 'промышленное оборудование', 'встроенное программное обеспечение', 'прошивки электронных устройств', 'программирование радиоэлектроники', 'микроконтроллеры']","Л Кард - отечественный производитель и разработчик промышленного радиоэлектронного оборудования. В конструкторском бюро (аккредитованная ИТ-компания) открыты собственные новые проекты, заказные разработки, проекты по реинжинирингу и адаптации текущей линейки изделий. В команду разработчиков требуется опытный ПРОГРАММИСТ МИКРОКОНТРОЛЛЕРОВ и технологического программного обеспечения Обязанности:- Разработка встраиваемого программного обеспечения радиоэлектронных изделий- Разработка наладочного и метрологического программного обеспечения- Доработка и оптимизация существующего кода- Анализ и формализация исходных требований‚ оценка трудоемкости- Подготовка разделов эксплуатационной документации- Создание и ведение программных репозиториев Требования:- Знание языков С/C++, ASM- Знание архитектур и технологий: AVR, ARM- Чтение принципиальных схем, понимание функционирования электронных приборов- Опыт работы на уровне регистров с периферией GPIO, SPI, I2C, PWM, ADC, памятью EEPROM, FLASH, SRAM, интерфейсами передачи данных CAN, UART, USB- Опыт имитации аппаратных протоколов нештатным или программным способом. Навыки работы с протоколами TCP/IP, CANOPEN, MODBUS- Опыт работы с ОС реального времени (PTP)- Владение WinAPI, LinuxAPI, знание фреймворка QT- Опыт разработки интерфейсов для прикладных программ: Windows/Linux- Знание системы контроля версий GIT Будет преимуществом:- Опыт работы с микроконтроллерами китайских производителей- Опыт пошаговой отладки, анализа памяти, регистров периферии, написание собственных отладочных скриптов или использование сторонних средств- Опыт написания драйверов под Windows/Linux- Опыт программирования измерительных систем- Знание ЦОС, многопроцессорных технологий, систем управления: MATLAB, Simulink, проектирование цифровых фильтров, PID-регуляторов Условия:- Оформление согласно ТК РФ- Корпоративный полис ДМС- Бонусы по итогам работы за год- График работы 5/2, с 10:00 до 19:00- Работа в офисе, м. Тульская (не дистанционная работа)- Возможности для профессионального развития и карьерного роста- Уровень заработной платы обсуждается по результатам собеседования # л кард, л-кард, лкард, лкарт, л-карт, элькард, элкард, элкарт, эл кард, эл-кард, lcard, l-card, l card, elcard, lcart, lkard, l-kard, l kard, elkard, lkart",0.0
87566527,"{'id': '5351955', 'name': 'Майсимтех', 'url': 'https://api.hh.ru/employers/5351955', 'alternate_url': 'https://hh.ru/employer/5351955', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/911282.jpg', '240': 'https://hhcdn.ru/employer-logo/4085816.jpeg', '90': 'https://hhcdn.ru/employer-logo/4085815.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5351955', 'accredited_it_employer': False, 'trusted': True}",Программист защищенных микроконтроллеров / Embedded software developer,True,200100.0,234900.0,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'fullDay', 'name': 'Полный день'}","['Git', 'Atlassian Jira', 'Java', 'Python', 'JUnit', 'Java Card', 'C Programming', 'Криптография', 'eSIM', 'Embedded programming', 'English', 'C++', 'Работа в команде', 'Smart Card', 'Смарт Карты', 'ИТ Безопасность']","Mysimtech is a young engineering company focused on secure solutions for IoT industry. We develop and integrate specialized software for various embedded platforms and systems to make IoT applications secure and trusted. We are building a new engineering team to focus on an innovative secure connectivity management solution and looking for a Software Engineer, who will join our international R&amp;D team and will be responsible for carrying out diverse development tasks, such as implementation of various system components, unit tests and preparation of developer documentation. Responsibility: • Design, development, documentation and validation of embedded software solutions and related middleware• Design and implementation of “on-card” software for secure microcontrollers and other embedded platforms (starting from low level)• Performance and endurance optimizations• Secure coding and system design• Design and implementation of functional and performance tests. Mandatory qualifications   BS or MS in Electrical or Computer engineering or Software engineering   Minimum 3 years of relevant experience   Good native C programming skills   Hands-on software development experience with 16- or 32-bit microcontrollers.   Familiarity with collaborative development tools and processes (JIRA, Git, SVN, GitLab CI, etc.)   Familiarity with Unit testing concepts and frameworks (JUnit, CUnit, etc.)   Hands-on experience with embedded RTOSs   Highly valuable skills   Familiarity with Java Card technology   Experience developing UICC applications, knowledge of eSIM, Telco applications is a plus   Solid understanding of cryptography concepts as a user (symmetric / asymmetric algorithms, padding schemes, etc.)   C/C++ programing skills (embedded and desktop domains)   Hands-on Smart Card OS / Java Card OS experience   Telco &amp; industry standards (ETSI, 3GPP, GSMA RSP and Global Platform)   Basic understanding of security requirements for secure embedded systems and relevant attacks   Build systems like Ant, Maven, SCons, CMake   Javadoc / Doxygen / MkDocs frameworks, PlantUML   Scripting languages for automation of build, test and deployment: JavaScript (e.g. Rhino/Nashorn), Python, etc.   Proficiency in the English language, both written and verbal, sufficient for success in a remote and largely asynchronous work environment   Self-motivated and self-managing, with strong organizational skills with ability to work autonomously   Условия:  Оформление по ТК Работа в офисе компании в г. Зеленоград или г. Нижний Новгород По желанию возможна релокация в Болгарию (г. София). При релокации в Болгарию осуществляется полная поддержка в получении рабочей визы, переезда и размещения Возможен гибридный график, частично офис и удаленная работа Полный рабочий день или частичная занятость по договоренности Оплата мобильной связи, а также дополнительных расходов при работе из домашнего офиса Полностью оплачиваемый отпуск по ТК ",0.0
88580480,"{'id': '2136954', 'name': 'Домклик', 'url': 'https://api.hh.ru/employers/2136954', 'alternate_url': 'https://hh.ru/employer/2136954', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/4261732.png', '240': 'https://hhcdn.ru/employer-logo/4261733.png', 'original': 'https://hhcdn.ru/employer-logo-original/955301.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2136954', 'accredited_it_employer': True, 'trusted': True}",Python разработчик,False,,,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'remote', 'name': 'Удаленная работа'}","['Python', 'PostgreSQL', 'Git', 'Docker', 'Elasticsearch']","Домклик — domclick.ru крупнейшая платформа по недвижимости, через которую проходит более 50% всех ипотечных сделок в стране, обеспечивая полный цикл от выбора квартиры, получения ипотеки, взаиморасчетов с продавцом до постпродажного сопровождения. Мы бросили вызов сложной банковской системе, чтобы делать по-настоящему удобный сервис. Домклик помогает людям покупать и продавать недвижимость, собирать и отправить документы в банк без посещения офиса. Мы ищем единомышленников, чтобы вместе помогать людям исполнять мечту о собственном жилье. Сейчас мы в поиске Python разработчика. Что предстоит делать:  реализовывать высоконагруженные и производительные сервисы на Python; участвовать в проектировании архитектуры, выработке решений по отказоустойчивости и производительности; интегрироваться с партнерами и внутренними системами банка; участвовать в груминге бэклога, быть техническим партнёром для бизнеса; оценивать задачи и планировать спринты; отвечать за качество: проводить code review, писать автотесты (юнит/функциональные/интеграционные) разбирать инциденты.  Мы ожидаем, что вы:   имеете опыт разработки на Python 3.X; понимаете механику языка Python и сопутствующих инструментов (pytest, mypy, poetry, flake8); имеете опыт работы с asyncio и фреймворками sanic/aiohttp/fastapi; работали с Docker и познали азы DevOps; имеете опыт работы с реляционными СУБД (у нас PostgreSQL); обладаете глубоким пониманием принципов ООП и шаблонов проектирования; работали с rabbitMQ; умеете и любите работать в команде.  Работы у нас - это:  полная ответственность за продукт: разработку, инфраструктуру, тестирование и релиз; мы используем современные технологии; практикуем continuous integration и continuous delivery; код в bitbucket, задачи в jira и т.д.; взрослый девопс, highload; понимающее IT-руководство, например, у нас есть квота 1 день в неделю на борьбу с тех. долгом/саморазвитие/рисеч/решение задач других команд; бизнес-руководство, нацеленное на результат; высокие темпы работы, разработанные решения очень быстро попадают в продакшн.  Мы предлагаем:  работу в аккредитованной IT компании; конкурентную заработную плату; полис ДМС с первого месяца работы; корпоративный университет, онлайн-курсы для повышения квалификации, конференции, митапы; фитнес-зал с сауной в здании офиса; льготную программу ипотеки для сотрудников; MacBook + дополнительные мониторы и т.д.; комфортный офис класса А в 5 минутах от станции метро и МЦК Кутузовская; гибкое начало рабочего дня и возможность работать в удаленном или гибридном формате. ",0.0
87646844,"{'id': '2733062', 'name': 'Лига Цифровой Экономики', 'url': 'https://api.hh.ru/employers/2733062', 'alternate_url': 'https://hh.ru/employer/2733062', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/948220.png', '240': 'https://hhcdn.ru/employer-logo/4233417.png', '90': 'https://hhcdn.ru/employer-logo/4233416.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2733062', 'accredited_it_employer': True, 'trusted': True}",Java-разработчик (senior),False,,,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'fullDay', 'name': 'Полный день'}",,"Лига Цифровой Экономики ищет Java-разработчика! Цель проекта - создание системы по работе с экспертно криминалистическими подразделениями. В составе нашей проектной команды ты можешь принять участие в полном цикле разработки. Перед нами стоит амбициозная задача разработать систему с нуля: от исследования предметной области и проектирования архитектуры до реализации и внедрения сервиса. Что для этого потребуется:  Опыт разработки на Java от 3х лет; Опыт работы с технологиями и инструментами (Core, Security, Data/JPA, Hibernate) Инструменты и методики DevOps (Git, Docker); Опыт работы с брокерами сообщений (Apache Kafka/RabbitMQ). Отличное знание SQL, опыт Опыт работы СУБД (PostgreSQL; Redis) Опыт проектирование: структуры БД, нагруженного API Понимание паттернов проектирования (GOF) и опыт их применения, принципов Clean Code, SOLID; Опыт проведения код-ревью  Будет преимуществом:  Отличное понимание как Spring Framework, как работает &quot;под капотом&quot; Опыт оптимизации SQL запросов (PostgreSQL) Опыт наставничества, управления группой разработчиков  Чем предстоит заниматься:  Разрабатывать новую функциональность на основании требований; Принимать участие в обсуждении и выработке предложений по архитектуре; Анализировать/оптимизировать работу сервисов.  Мы предлагаем:  Команда профессионалов, где каждый увлечен своим делом и готов поделиться экспертизой, а также возможность нести новые знания и технологии Работа в гибкой методологии разработки Возможность работать в гибридном формате Поездка на конференции и тренинги за счет компании, внутренние семинары и митапы, мы очень любим учиться новому Новая техника для комфортной работы Сессии профразвития дважды в год, результатом которой является план индивидуального развития каждого сотрудника и получение обратной связи ",0.0
88471833,"{'id': '5935782', 'name': 'Моринтех', 'url': 'https://api.hh.ru/employers/5935782', 'alternate_url': 'https://hh.ru/employer/5935782', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5935782', 'accredited_it_employer': False, 'trusted': True}",Разработчик бекенд (Middle+/Senior Backend developer),False,,,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'fullDay', 'name': 'Полный день'}",,"ООО Моринтех является резидентом ИТ-кластера Сколково. Наша компания предоставляет услуги по обработке и анализу пространственных данных для компаний, ведущих хозяйственную и природоохранную деятельность на морских акваториях, разрабатывает собственные цифровые продукты для сбора, хранения, обработки и анализа данных.Мы занимаемся передовыми исследованиями в области машинного обучения и искусственных нейронных сетей применительно к задачам моделирования и прогнозирования атмосферных и океанических процессов. Наш основной фокус внимания – Арктика, т.к. именно в этом регионе в ближайшие десятилетия будет формироваться до 50% ВВП России. Обеспечение безопасности круглогодичной морской навигации по Северному морскому пути с учетом экологического состояния акваторий является частью национальной стратегии России. Сейчас мы активно запускаем новые проекты и в связи с этим расширяем команду аналитиков. Если тебе интересна наша сфера деятельности, ты хочешь работать в дружной и увлеченной общим делом команде и имеешь необходимые скиллы, то смело откликайся на нашу вакансию! Обязанности:   Разработка бекенда для собственных web-проектов компании;   Работы с большими объемами данных, написание эффективных нетривиальных алгоритмов работы с данными, проектирование и оптимизация структуры БД и т.д.;   Проектирование и выработка архитектурных решений, интеграций, проектирование API;   Поддержка и доработка существующих систем;   Написание юнит-тестов и технической документации по своим задачам;   Оптимизация сервисов под высокие нагрузки и большие объемы данных;   Проведение Code Review, Design Review, наставничество над менее опытными коллегами, декомпозиция сложных задач;   Коммуникация с продакт-оунерами, аналитиками, экспертами предметной области, уточнение и прояснение требований.   Требования:   Опыт в коммерческой разработке от 1,5 лет;   Уверенное знание Python 3.* и основных python библиотек;   Уверенное знание структур данных, понимание алгоритмической сложности;   Уверенные знания реляционных СУБД, понимание принципов обеспечения высокой производительности работы с БД (индексация, эффективное использование памяти и процессора сервера СУБД);   Уверенный пользователь Linux;   Знание, понимание и опыт практического применения лучших инженерных практик разработки (пирамида тестирования, юнит тесты, TDD, CI/CD, контейнеризация);   Понимание горизонтальной масштабируемости, умение выстраивать эффективную горизонтально масштабируемую архитектуру;   Понимание ключевых архитектурных подходов/паттернов: микросервисы vs монолит и т.д.;  Понимание HTML, CSS, JavaScript;  Умение работать самостоятельно и в команде, проактивность, способность брать на себя ответственность, стремление к постоянному совершенствованию своей и командной работы;   Умение планировать свою работу, открытость, готовность своевременно и полноценно информировать коллег о ходе работы и возникающих проблемах.   Дополнительно будет плюсом:  Успешный опыт наставничества; Опыт разработки и последующего длительного сопровождения в продакшен нагруженного приложения с продолжающейся активной разработкой; Знание и практические навыки работы с геоданными: MapProxy, Apache Nifi, Leaflet, Open Layers, Mapnik, CartoDB, семейство VisGL, GeoTIFF, GeoJSON; Опыт конфигурирования и сопровождения CI/CD;  Наш стек: Языки: Python, JS, SQL; Фреймворки: Django Rest Framework и FastApi; Хранилища PostgreSQL (SQL, PL/PgSQL, PostGIS, SQL/JSON); Дополнительные инструменты: CI/CD GitLab, Docker. Условия:  Работа в команде профессионалов на стыке передовых ИТ технологий и науки; Официальное оформление ТК РФ (своевременные выплаты 2 раза в месяц); Возможность профессионального и карьерного роста; Заработная плату, соответствующая Вашему профессиональному уровню и индексируемая в соответствии с ростом профессиональных навыков; Отсутствие дресс-кода; Медицинская страховка (ДМС); Рабочая техника: современный лэптоп DELL + два больших монитора; удобные кресла; Современный уютный офис в шаговой доступности от метро, в котором царят забота и комфорт (чай/кофе, печеньки, фрукты все как полагается); Поощрение профессионального развития (возможность обучения, участия в конференциях); Открытость руководства к новым идеям и предложениям, адекватное отношение к каждому сотруднику, без лишних формальностей и бюрократии. ",0.0
89166459,"{'id': '2300703', 'name': 'Открытая мобильная платформа', 'url': 'https://api.hh.ru/employers/2300703', 'alternate_url': 'https://hh.ru/employer/2300703', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/1750475.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/327031.jpg', '90': 'https://hhcdn.ru/employer-logo/1750474.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2300703', 'accredited_it_employer': False, 'trusted': True}",Системный программист в отдел адаптации ОС Аврора,False,,,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'fullDay', 'name': 'Полный день'}","['Linux', 'C/C++']","Компания &quot;Открытая мобильная платформа&quot; ищет кандидатов на вакансию системный программист C/C++ в отдел портирования ОС. Перед командой портирования стоит задача переноса мобильной операционной системы Аврора на новые устройства. Мы ищем как начинающих разработчиков, желающих активно развиваться в области системного программирования, так и опытных, с хорошим пониманием принципов работы Bluetooth, Fingerprint, GSM: SMS/Voice/Data, WLAN, GPU subsystem, Audio, Multimedia и опытом успешного завершения проектов по портированию Linux на новые аппаратные платформы. Чем предстоит заниматься:  Портирование ОС Аврора на новые устройства; Разработка, отладка и исправление драйверов под новое оборудование; Обеспечение наилучшей производительности и качества работы ОС Аврора на новых устройствах; Автоматизация процессов портирования; Внедрение результатов разработки в open source проекты;  Что мы ждём от вас:  Опыт системного программирования: от 1 года; Высшее техническое образование; Отличное знание С, bash; Опыт написания или отладки кода на С++ и Python; Понимание ядра Linux, опыт написание и/или отладки модулей ядра; Опыт написания и отладки системных компонентов, демонов (SystemV, systemd, d-bus, etc.); Опыт работы с какой либо системой сборки дистрибьюции и\или пакетов: Yocto, buildroot, kickstart, rpm/deb; Владение такими средствами разработки как: gcc toolchain, make/autotools, gdb, git; Опыт работы с ARM-based платформами; Английский язык (уровня intermediate и выше).  Будем рады, если у вас есть:  Опыт системной разработки для мобильных ОС (Android, Maemo, Meego, Tizen, Sailfish, Mer, Ubuntu, etc.); Опыт сборки AOSP, LineageOS и создания Android BSP кастомных прошивок/портов; Понимание интерфейсов SPI, I2C, RS-232; Опыт работы с каким-либо загрузчиком: u-boot, barebox и др.; Опыт разработки и отладки графических, wifi / bluetooth, USB, NFC, audio и др. драйверов; Умение читать схематику на базовом уровне; Участие в крупных open source проектах.  Условия:  Аккредитованная IT компания Трудоустройство по ТК РФ Конкурентный уровень заработной платы (обсуждается с успешным кандидатом) Современное оборудование рабочего места Гибкое начало рабочего дня ДМС после прохождения испытательного срока (3 месяца) ",0.0
89122992,"{'id': '1993194', 'name': 'YADRO', 'url': 'https://api.hh.ru/employers/1993194', 'alternate_url': 'https://hh.ru/employer/1993194', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/784779.png', '240': 'https://hhcdn.ru/employer-logo/3580008.png', '90': 'https://hhcdn.ru/employer-logo/3580007.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1993194', 'accredited_it_employer': True, 'trusted': True}",Инженер-разработчик средств загрузки и Firmware,False,,,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'flexible', 'name': 'Гибкий график'}",,"Обязанности:  Разработка и отладка системного ПО (от baremetal примеров до программ под Linux) для проектируемых процессоров; Разработка средств загрузки и firmware с учетом требований secure boot и efi спецификаций; Автоматизация построения и тестирования средств загрузки и baremetal приложений; Участие в совместной работе с другими командами по оценке производительности средств загрузки и firmware в различных сценариях использования; Взаимодействие с рабочими группами в RISC-V комитетах.  Требования:  Владение C обязательно; Базовое понимание принципа работы процессора, знакомство хотя бы с одной архитектурой; Знание процесса инициализации и загрузки Linux на любой платформе на выбор.  Будет плюсом:  Знания и опыт в разработке полупроводниковых технологий; Опыт низкоуровневого и системного программирования встроенных систем (bsp/drivers/kernel/RTOS); Опыт работы/настройки/понимание принципа работы ARM TZ/UEFI Secure Boot/TEE; Умение собирать и настраивать Linux/U-Boot/buildroot; Знакомство с RISC-V; Знание C++/Rust/Python.  Условия:  Конкурентная заработная плата; Оформление по ТК РФ, медицинскую страховку, оплачиваемый отпуск и больничный; Гибкий рабочий график, возможность удаленной работы; Офисы в Москве, Петербурге, Нижнем Новгороде; Программы обучения, развития сотрудников, возможность публикаций и поездок на конференции.   ",0.0
86293851,"{'id': '2519536', 'name': 'Специальный Технологический Центр (ООО СТЦ)', 'url': 'https://api.hh.ru/employers/2519536', 'alternate_url': 'https://hh.ru/employer/2519536', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/1866799.png', '90': 'https://hhcdn.ru/employer-logo/1866798.png', 'original': 'https://hhcdn.ru/employer-logo-original/356134.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2519536', 'accredited_it_employer': False, 'trusted': True}",Программист ПЛИС (FPGA) (Направление разработки систем связи),True,100000.0,,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'fullDay', 'name': 'Полный день'}","['FPGA', 'MATLAB', 'Verilog HDL', 'Git', 'Python', 'Bash', 'Simulink', 'SystemVerilog', 'Questasim', 'ModelSim', 'Xilinx', 'Altera']","Наш коллектив, занимающийся разработкой беспроводных систем связи ищет инженера-программиста ПЛИС(FPGA). Вам предстоит решать задачи оптимизации алгоритмов построения беспроводных систем связи и реализации их на ПЛИС. Разработка ведется на платформах SoC. Обязанности:  разработка, анализ алгоритмов цифровой обработки сигналов и реализация их в ПЛИС; разработка сопроводительной документации и написание testbench-файлов(Verilog/SystemVerilog); разработка проектов ПЛИС (верификация, оптимизация и отладка); проектирование алгоритмов тестирования разрабатываемых систем связи.  Требования:  опыт описания/тестирования/отладки цифровых схем на языке Verilog/VHDL от 2 лет; опыт работы c questasim/modelsim.  Будет преимуществом:    опыт моделирования в среде Matlab/Simulink;  опыт применения System Generator/DSP builder;  make, python, tcl, git/svn; UVM/VMM; опыт ЦОС; профильное высшее образование в области радиосвязи;   знание современных стандартов беспроводной связи.  Мы предлагаем:  Официальное трудоустройство; &quot;Белую заработную плату&quot;, премии по результатам проектов, &quot;13-я заработная плата&quot; в конце календарного года; Молодой дружный коллектив; Обучение за счет компании; Перспективу карьерного роста; ДМС по окончании испытательного срока; Корпоративный досуг (спортивные секции, походы в театр, квизы и т.д.). ",0.0
88158794,"{'id': '1993194', 'name': 'YADRO', 'url': 'https://api.hh.ru/employers/1993194', 'alternate_url': 'https://hh.ru/employer/1993194', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/784779.png', '240': 'https://hhcdn.ru/employer-logo/3580008.png', '90': 'https://hhcdn.ru/employer-logo/3580007.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1993194', 'accredited_it_employer': True, 'trusted': True}",Старший инженер по разработке ПО (QEMU),False,,,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'fullDay', 'name': 'Полный день'}",,"R&amp;D центры YADRO находятся в Москве, Санкт-Петербурге и Нижнем Новгороде, производственная площадка расположена в Московской области и строится завод полного цикла. На текущий момент нас уже более 3000 человек, и мы продолжаем активно расти и расширять команду. Чем предстоит заниматься:  Разработка и отладка моделей процессорных ядер и SoC для QEMU; Совместная работа с командами FPGA по разработке инструментов ко-симуляции (QEMU + RTL симулятор, QEMU + FPGA прототип); Совместная работа с командами разработки системного ПО для процессорных ядер и SoC.  Мы ожидаем от будущего члена команды:  Понимание архитектуры CPU (х86, RISC-V) и операционных систем; Программирование на C/C++; Понимание ОС Linux, ядра и систем виртуализации; Опыт низкоуровневого и системного программирования встроенных систем (bsp/drivers/kernel/RTOS); Знание классических алгоритмов и структур данных; Уверенный пользователь Linux (включая cli &amp; shell programming); Английский язык на уровне чтения технической литературы; Опыт работы в команде, знакомство с процессами Code Review, CI/CD.  Дополнительно приветствуем:  Опыт работы с QEMU; Опыт работы с системами CI(gitlab\jenkins); Знание Python;  Будем рады предложить:  Стать частью крупной стабильной компании, разрабатывающей и производящей высокотехнологичное оборудование, а также ежегодно увеличивающей долю рынка и финансовые показатели; Гибридный формат работы: рабочее место в комфортном лофт-офисе на территории БП «Полюстрово» в 15 минутах езды от ст. метро Площадь Ленина/Новочеркасская + удалённая работа из дома на корпоративном ноутбуке; График работы с 10:00 до 19:00 с гибким началом и окончанием рабочего дня; Конкурентный уровень заработной платы (готовы по достоинству оценить ваши знания и опыт) + премирование по результатам работы; Возможность расти горизонтально и вертикально, а также в зависимости от результатов и интересов перемещаться между проектами и командами. ",0.0
