,Schedule,Experience,Salary
0,Вахтовый метод,Более 6 лет,262297.4395191595
1,Вахтовый метод,Нет опыта,180442.39996456355
2,Вахтовый метод,От 1 года до 3 лет,186955.44373058528
3,Вахтовый метод,От 3 до 6 лет,239124.93512462825
4,Гибкий график,Более 6 лет,246175.09315990657
5,Гибкий график,Нет опыта,148487.9870769903
6,Гибкий график,От 1 года до 3 лет,155001.03084301203
7,Гибкий график,От 3 до 6 лет,207170.522237055
8,Полный день,Более 6 лет,241320.20729564875
9,Полный день,Нет опыта,144368.96864437312
10,Полный день,От 1 года до 3 лет,150882.01241039485
11,Полный день,От 3 до 6 лет,206347.36635326594
12,Сменный график,Нет опыта,144368.96864437312
13,Сменный график,От 1 года до 3 лет,150882.01241039485
14,Сменный график,От 3 до 6 лет,206347.36635326594
15,Удаленная работа,Более 6 лет,244329.79237865657
16,Удаленная работа,Нет опыта,152004.42701839656
17,Удаленная работа,От 1 года до 3 лет,158517.47078441828
18,Удаленная работа,От 3 до 6 лет,210686.96217846125
