,Ids,Employer,Name,Salary,From,To,Experience,Schedule,Keys,Description
0,88833864,Zecurion,Программист C++ (стажёр),False,,,Нет опыта,Полный день,['c++'],стажёр c++ c++ js go c++ документация ответственность
1,88040303,R,Junior + программист С++ (Импортозамещение),False,,,От 1 года до 3 лет,Удаленная работа,"['c++', 'oracle', 'postgresql', 'sql']",r управление r с++ retail автоматизация с++ oracle liquibase jira svn linux windows postgresql oracle c++ субд oracle postgresql mysql svn git ос windows
2,87862167,Чесноков,Программист-разработчик Game Cheat Development,True,500000.0,2000000.0,От 1 года до 3 лет,Полный день,"['c++', 'android', 'ios', 'windows', 'development', 'разработка']",c++ android ios windows development c++ android windows drivers
3,86283891,АКСИТЕХ,Стажер-программист,True,40000.0,60000.0,Нет опыта,Гибкий график,"['javascript', 'linux', 'c#', 'c++']",автоматизация javascript linux
4,88040664,R,Программист С++ (Импортозамещение),False,,,От 1 года до 3 лет,Удаленная работа,"['c++', 'oracle', 'postgresql', 'sql']",r управление r с++ retail автоматизация с++ oracle liquibase jira svn linux windows postgresql oracle c++ субд oracle postgresql mysql svn git ос windows
5,88979464,Data,Machine Learning Engineer / ML- разработчик,False,,,От 1 года до 3 лет,Полный день,"['ml', 'sql', 'python', 'javascript', 'nodejs', 'c/c++', 'git']",ai ai ml ml sql git python javascript nodejs kotlin c c++ agile
6,88202140,AVPOWER,Junior программист/разработчик Frontend backend/Junior разработчик,True,75000.0,90000.0,От 1 года до 3 лет,Полный день,"['git', 'kotlin', 'java', 'linux', 'python', 'c++']",java kotlin android управление java архитектура android frontend backend gui архитектура ответственность arm esp32 linux python c++ git
7,88833941,Zecurion,Младший разработчик C++,False,,,От 1 года до 3 лет,Полный день,"['c++', 'ооп']",c++ тестирование c++ c++ ооп документация ответственность
8,88419592,Дубайт,Разработчик С++ (Junior),True,87000.0,156600.0,Нет опыта,Полный день,"['c++', 'linux']",c++ c++ linux с++ stl posix api shell gcc linux алгоритм
9,88984175,Сервис,Junior full-stack developer,False,,,Нет опыта,Гибкий график,,agile js typescript react python django graphql asyncio mysql rabbitmq java kotlin swiftui docker github github ansible nginx алгоритм python django c c++ ci docker agile scrum
10,88963319,TrueConf,Разработчик / Младший разработчик C++,True,80000.0,,Нет опыта,Полный день,"['git', 'linux', 'c++17', 'stl', 'ооп', 'адаптивность', 'инициативность', 'самообразование']",коммуникация с++ c++17 stl ооп git boost boost sql python
11,88567694,Бюро,Junior Developer C++,False,,,Нет опыта,Полный день,,c++ cmake git linux json xml boost openssl oracle postgres grpc boost криптография архитектура ci cmake boost grpc gcc oracle linux страхование
12,88994859,Прогматик,Разработчик ПО,True,87000.0,,От 1 года до 3 лет,Полный день,"['golang', 'linux', 'ansible', 'openstack', 'kubernetes', 'python']",openstack kubernetes ci python c c++ golang devops c ansible python docker kubernetes go aws openstack
13,88356196,СТУДИЯ,Разработчик С++ Junior,False,,,Нет опыта,Полный день,"['c++', 'python', 'linux', 'windows']",с++ c++ python linux windows алгоритм opengl алгоритм
14,88004979,Лаборатория,Разработчик С++,False,,,От 1 года до 3 лет,Полный день,"['c++', 'git', 'sql', 'python', 'linux', 'postgresql']",c++ алгоритм senior с++ ооп с++ stl boost linux python cmake git gitlab
15,87786254,CRTEX,Junior golang разработчик,True,120000.0,,От 1 года до 3 лет,Полный день,"['golang', 'postgresql', 'grpc', 'rest', 'kafka']",архитектура микросервис архитектура архитектура grpc rest kafka rabbitmq алгоритм go c++ python java golang архитектура субд k8s
16,88519490,Инновационная,Computer Vision Engineer,False,,,От 1 года до 3 лет,Полный день,"['python', 'opencv', 'scipy', 'git', 'linux', 'pytorch', 'c++']",управление нейросеть прогнозирование python scipy opencv pytorch tensorflow linux git архитектура yolo c++ tensorrt
17,88655886,АвтоМеханика,Программист С++,True,52200.0,217500.0,Нет опыта,Гибкий график,,c++ архитектура c++ c++ stl qt opengl архитектура
18,89017427,Мэджик,Разработчик Unreal Engine,True,174000.0,217500.0,От 1 года до 3 лет,Полный день,"['c++', 'svn', 'git', 'python', 'perforce']",документация c++ c++ алгоритм git svn perforce jira python js php ruby ci cd
19,89005394,ИнфоТеКС,Junior-разработчик Linux kernel (Android),False,,,Нет опыта,Полный день,"['c/c++', 'aosp', 'c', 'c++', 'cmake', 'makefiles', 'automake', 'android', 'hal']",aosp android ос linux linux с++ linux android автоматизация makefiles automake cmake android hal aosp android
