Ids,Employer,Name,Salary,From,To,Experience,Schedule,Keys,Description,resume similarity
88215481,"{'id': '9461904', 'name': 'Атлантис', 'url': 'https://api.hh.ru/employers/9461904', 'alternate_url': 'https://hh.ru/employer/9461904', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/6286134.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/1166424.jpeg', '240': 'https://hhcdn.ru/employer-logo/6286135.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9461904', 'accredited_it_employer': False, 'trusted': True}",Менеджер по продажам ИТ продуктов с дополненной реальностью,True,80000.0,,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'fullDay', 'name': 'Полный день'}","['Навыки продаж', 'Телефонные переговоры', 'Проведение презентаций', 'Ориентация на результат', 'CRM']","Добрый день!    Внимание! Вакансия открыта до 15 ноября включительно!   Наша компания ATLANTIS занимается разработкой дополненной реальности и ее интеграцией в разные сферы бизнеса и социальной жизни.   Наши клиенты создают новые продукты или модернизируют текущие, увеличивают доход, расширяют клиентскую базу, масштабируют бизнес, повышают имидж компании за счёт внедрения «оживающих» визиток, листовок, наружной и внутренней рекламы, каталогов и других продуктов с AR.   Наши заказчики в секторе B2B: Cheetos, LEGO, Hoff, Barilla, Газпром, Oreo, Перекрёсток, Добрый, Ситимобил и пр.  Сейчас активно развиваем направление франчайзинга.    Почему открыта вакансия:   Масштаб технологии ежедневно растет и количество заинтересованных клиентов, соответственно, тоже.  Мы ставим перед собой цель - сделать дополненную реальность доступной для каждого желающего: от небольших кафе до крупных застройщиков.    Для того, чтобы совершить новый рывок в росте и развитии компании мы ищем харизматичного, энергичного представителя нашей команды с позитивным настроем к жизни. Ценим в сотрудниках честность, открытость и горящие глаза.   Наша вакансия – отличная возможность получить новый опыт работы с уникальным продуктом в сфере дополненной реальности и увеличить свой доход, так как система мотивации не подразумевает потолка.   Мы предлагаем вам:   • Своевременная заработная плата 2 раза в месяц: оклад до 50 тр + высокий % от прибыли со второго месяца работы (совокупный доход у лучших менеджеров от 180 000 рублей); • Удаленная работа, график работы 5/2, с 09:30 до 18:30 по МСК; • Полезный современный продукт, за который не стыдно перед клиентами; • Работа в акредитованной IT-компании; • Общение с заинтересованными клиентами и работа с теплыми заявками; • Возможность карьерного, профессионального и финансового роста за 4 месяца (руководитель группы, руководитель отдела продаж); • Нематериальная мотивация и бонусы за перевыполнения планов продаж; • Поддержка и наставничество от руководителя и других специалистов нашей компании для развития профессиональных качеств; • Для данной должности предусмотрено обучение, стипендия 21 000 рублей + % с первых же закрытых договоров; • Дружеские онлайн-встречи по пятницам всей командой ;)     Что предстоит делать:   • Своевременно и качественно обрабатывать входящие заявки, поступающие из рекламных каналов; • Проводить телефонные переговоры и онлайн-встречи в сервисах Zoom/Яндекс Телемост с потенциальными партнерами; • Формировать коммерческие предложения, отправлять обучающие и презентационные материалы; • Поддерживать регулярную связь с клиентской базой (переписка по почте и WhatsApp); • Заключать договора, выполнять планы продаж; • Вся работа ведется в CRM (Битрикс24).      Что ждем от Вас:   • Уверенные навыки работы с ПК и опыт работы в CRM; •Умение слушать и слышать клиента; • Активная жизненная позиция, хорошие коммуникативные навыки и стремление зарабатывать; • Хорошая самодисциплина и понимание основ тайм-менеджмента; • Опыт работы в телефонных продаж от 1 года (преимуществом будет опыт работы в сфере Digital); • Наличие стабильного скоростного интернета, ПК и гарнитуры; • Внимательность. При отклике на вакансию начните ваше сопроводительное письмо со слов &quot;отличное начало&quot;.   Внимание! Вакансия открыта до 15 ноября включительно!   Успехов и до встречи на собеседовании!",0.0
89034453,"{'id': '10034093', 'name': 'Compound Solutions SL', 'url': 'https://api.hh.ru/employers/10034093', 'alternate_url': 'https://hh.ru/employer/10034093', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10034093', 'accredited_it_employer': False, 'trusted': True}",Senior Python Developer,False,,,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'remote', 'name': 'Удаленная работа'}",,"We are proud to be at the forefront of leveraging AI &amp; Machine Learning technology to deliver innovative solutions tailored to meet our clients&#39; unique needs. Previously, we have been able to grow by 71% year over year. However, in 2023 alone, we’ve been able to grow by more than 400% If you&#39;re passionate about technology and looking for a challenging and rewarding career that can take you places, Compound Group is the place for you! We are seeking a talented and experienced Senior Python Developer to join our team on a full-time basis. Our company provides custom AI development services, and we need someone who is strong in Python and has experience working in a senior role. Why this is an amazing opportunity: - Opportunity to grow. Joining our team offers the opportunity to be part of a rapidly growing business department. With a total of 15 employees, we have established a dynamic and thriving work environment. Moreover, our experience of successfully running this business model for over 6 years ensures stability and a proven track record of success.- Freedom. The position is fully remote (work from home, a co-working space, a café, etc.).- Autonomy. As long as you’re executing our processes properly, you won’t be micromanaged.- Fairness. We value open communication, directness, and transparency. We want the collaboration with our full-time freelancers to be a win-win for both sides.- Passion and purpose. Work with a passionate team that really cares about doing quality work and helping clients to make their businesses grow.- Quality. We place a big emphasis on providing high-quality service and actually getting people results. Before taking on new clients, we set realistic expectations and make sure that they understand the relationship they’re going into.- A winning culture. We focus on sustainable, optimal growth instead of just growing as fast as possible.- You will face a rational, honest, and friendly culture with a high focus on achievement. This is not for everyone. We’ve found that a lot of people do not like direct feedback about improvement areas or to have pressure to achieve specific things. However, some people understand the long-term benefits of this and value it accordingly.- We want you to perform your best and will be completely transparent with all information.- Competitive salary (depending on your level of experience). As a Senior Python Developer, you will be responsible for developing components of the AI solutions we provide to clients. Requirements: - At least 3 years of work experience with Python- At least 1 year of experience in a senior role- Ability to work independently and meet deadlines- Strong communication and problem-solving skills- This is a full-time position with 40-hours working week. If you meet these requirements and are interested in joining our team, please apply with your resume and relevant experience. We look forward to hearing from you!",0.0
88833753,"{'id': '1473202', 'name': 'UltraCOM', 'url': 'https://api.hh.ru/employers/1473202', 'alternate_url': 'https://hh.ru/employer/1473202', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/3860684.jpeg', '90': 'https://hhcdn.ru/employer-logo/3860683.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/854952.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1473202', 'accredited_it_employer': True, 'trusted': True}",Специалист по контекстной рекламе,True,50000.0,120000.0,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'fullDay', 'name': 'Полный день'}","['оптимизация рекламных кампаний', 'Ведение мобильных рекламных кампаний', 'Яндекс.Директ', 'Работа с рекламными сетями', 'Google Analytics', 'Веб-аналитика', 'Планирование рекламных кампаний', 'Работа с тизерными сетями', 'Google AdWords', 'Баннерная реклама', 'Автоматизация контекстных кампаний', 'Внешний аудит контекстной рекламы', 'Ремаркетинг', 'Работа с большим пулом запросов', 'Работа с системами аналитики', 'Yandex Direct', 'Интернет-реклама', 'Яндекс.Метрика', 'Внутренний аудит контекстной рекламы', 'Работа с директ командером', 'Контекстная реклама']","UltraCOM - агентство интернет-маркетинга. Основные направления деятельности: продвижение сайтов, привлечение трафика из рекламных сетей, разработка интернет-решений. На рынке с 2006 года. Портфолио насчитывает более 5000 проектов и рекламных кампаний. Агентство располагает собственными решениями в области агрегирования трафика (TINA) и аналитическими сервисами. Мы всегда находимся в поиске активных, целеустремлённых и талантливых людей! Тех, кто стремится к постоянному развитию. Со своей стороны мы предоставляем программу обучения на базе компании и возможности для быстрого карьерного роста. Вакансия ориентирована на специалиста имеющего опыт в области контекстной рекламы и привлечения трафика из рекламных сетей. В ходе работы проводится корпоративное обучение, тренинги, посещение отраслевых конференций.   Обязанности:  Сбор и подготовка семантического ядра Настройка и ведение рекламных кампаний Аналитика и оптимизация рекламных кампаний: подбор новых минус-слов, чистка площадок, корректировка ставок и стратегий, оценка эффективности, тестирование новых инструментов и т.п. Работа с системами коллтрекинга, сквозной аналитики Подготовка отчётности    Требования:  Опыт работы от 1 года Опыт работы с Яндекс Директ, товарными агрегаторами, тизерными и баннерными сетями Знание систем статистики Яндекс Метрика и Google Analytics Опыт работы с системами сквозной аналитики Знания базовых принципов оптимизации рекламных кампаний Аналитический склад ума и умение обрабатывать информацию Умение грамотно устно и письменно излагать свои мысли.    Корпоративное обучение:  Продвинутая работа с семантикой Продвинутый курс аналитики Экзотические источники трафика    Перспективы для роста:  Ведущий трафик менеджер Руководитель отдела    Условия:  Вам предстоит работать в дружной команде настоящих гуру, имеющих успешный опыт работы более 15 лет. Коллектив увлеченных своим делом профессионалов. Уютный офис в самом центре города и творческая атмосфера. Возможность посещения наиболее значимых событий в нише (выставки, конференции). Весёлые корпоративы и праздники. Постоянное развитие и программы обучения. Отличные возможности для карьерного роста. Оформление по ТК РФ.   ",0.0
88594986,"{'id': '5367822', 'name': 'Нефтегазстрой-Югра', 'url': 'https://api.hh.ru/employers/5367822', 'alternate_url': 'https://hh.ru/employer/5367822', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5367822', 'accredited_it_employer': False, 'trusted': True}",Специалист отдела кадров,False,,,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'fullDay', 'name': 'Полный день'}",,"Организация ООО &quot;НГС-ЮГРА&quot; ведёт работы по строительству объектов нефтегазового комплекса на территории ХМАО и ЯНАО. В связи с увеличением строящихся объектов мы усиливаем набор персонала. Если ты мечтаешь развиваться в данной сфере, ты активный, позитивный и целеустремленный человек – мы будем рады тебе! ЧТО МЫ ПРЕДЛАГАЕМ:  Трудоустройство в соответствии с ТК РФ с первого дня работы; Оплачиваемый ежегодный отпуск; «Белую» з/п на банковскую карту без задержек; Корпоративная рабочая связь; Стабильность; Уважительное и доверительное отношение коллег, благоприятная атмосфера на рабочем месте; Режим работы: 5-ти дневная рабочая неделя с 9.00 до 18.00.  ЧТО ПРЕДСТОИТ:   Ведение кадрового делопроизводства в полном объёме (оформление приказов о материальной помощи, о единовременной выплате). Заполнение и хранение трудовых книжек, подсчет трудового стажа. Ведение табеля учета рабочего времени по подразделениям. Отчёты СЗВ-ТД, СЗВ-СТАЖ в ПФР; отчёты о вакансиях, о квотировании рабочих мест в ЦЗН. Поиск и подбор персонала (hh.ru).  Оформление иностранных граждан, сдача уведомлений в трудовую миграцию, МВД.  НАШИ ОЖИДАНИЯ:  Знание кадрового делопроизводства, умение работать с ТК, оперативность поиска необходимой документации в правовых программах. Знание правил воинского учета. Отличное знание Word, Excel, «1С:Предприятие 8.2, 8.3». Умение работать с оргтехникой. Опыт разработки проектов кадровых документов. Ведение внутреннего документооборота. (бумажного, электронного) Работа с ПФР, ЦЗН, органами статистики.Ежемесячная, квартальная, готовая отчетность (ЦЗН, Статистика, ПФР- СЗВ-ТД, СЗВ-СТАЖ). Подготовка справок о трудовой деятельности по запросу. Подбор персонала, размещение вакансий. Контроль за соблюдением Трудового законодательства РФ.  Оставляйте отклик на вакансию! ",0.0
89337340,"{'id': '1391775', 'name': 'Смарт девелопмент', 'url': 'https://api.hh.ru/employers/1391775', 'alternate_url': 'https://hh.ru/employer/1391775', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/6298810.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/1169593.jpg', '240': 'https://hhcdn.ru/employer-logo/6298811.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1391775', 'accredited_it_employer': False, 'trusted': True}",Персональный водитель генерального директора,True,,100000.0,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'fullDay', 'name': 'Полный день'}","['Вождение автомобилей представительского класса', 'Знание устройства автомобиля', 'Исполнение личных поручений руководителя', 'семейный водитель', 'Грамотная речь', 'Водительское удостоверение категории BC', 'Конфиденциальность', 'Знание ПДД', 'Деловой этикет', 'Чистоплотность', 'Бережное отношение к автомобилю', 'Аккуратный стиль вождения', 'Опыт работы на автомобилях представительского класса', 'Водительский стаж более 10 лет']","Требуется персональный водитель для руководителя девелоперской компании. Обязанности:  Обеспечение комфортного и безопасного сопровождения руководителя и при необходимости семьи руководителя; Подача автомобиля в назначенное время и место; Планирование оптимального маршрута передвижения с учетом особенностей дорожной ситуации и указаний руководителя/семьи руководителя; Осуществление ухода за автомобилем, поддержание в чистоте; Контроль сроков прохождения технического обслуживания автомобиля; Выполнение личных поручений руководителя и семьи руководителя; Соблюдение правил этикета.  Требования:  ВАЖНО-ОПЫТ РАБОТЫ ПЕРСОНАЛЬНЫМ ВОДИТЕЛЕМ не менее 7 лет, опыт работы с первыми лицами компании, желателен опыт работы водителем семьи с детьми; Спокойное вождение; Отличные знания ПДД и административного законодательства о дорожном движении; Знание устройства автомобиля, его технических характеристик, правил содержания автомобиля, различных способов вождения в неблагоприятных погодных условиях (опыт вождения на автомобилях разного класса и габаритов); Знание способов составления оптимального маршрута, дорог Москвы и Московской области; Соблюдение этикета и конфиденциальности; Готовность к гибкому графику работы, возможны переработки, в том числе и в выходные дни, но предусмотрена компенсация; Личные качества: пунктуальность, порядочность, вежливость, честность, чистоплотность, спокойствие, тактичность.  Условия:  График работы водителя руководителя - 5/2 с 9:00ч до 21:00ч (возможен вызов в выходной день, но предусмотрена компенсация выходным днем в будни), в период командировок руководителя помощь второму водителю по семейным вопросам; Адреса основных пунктов назначения: ближайшее метро Ломоносовский проспект, основные 2 места работы: офис метро Парк Победы и офис в Красногорском районе КП TEN, в течение дня встречи в центре Москвы; Автомобиль в настоящее Chevrolet Tahoe и/или микроавтобус Mercedes (разный парк автомобилей), автомобили руководителя находятся на парковке руководителя, уезжать домой и пользоваться лично нельзя; Официальное трудоустройство по ТК РФ. ",0.0
79902272,"{'id': '41512', 'name': 'ФАРМПЕРСПЕКТИВА', 'url': 'https://api.hh.ru/employers/41512', 'alternate_url': 'https://hh.ru/employer/41512', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/1017934.png', '90': 'https://hhcdn.ru/employer-logo/5692504.png', '240': 'https://hhcdn.ru/employer-logo/5692505.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=41512', 'accredited_it_employer': False, 'trusted': True}",Специалист по логистике склада,True,,40890.0,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'remote', 'name': 'Удаленная работа'}",,"Обязанности:  Анализ товародвижения и состояния товарных запасов Подготовка отчетов и предложений по оптимизации Разработка предложений по сокращению затрат компании, связанных с товародвижением и формированием товарных запасов Подготовка требований на разработку (доработку) IT объектов Ведение отчетности о проделанной работе  Требования:  Опыт работы не требуется Образование высшее (неоконченное высшее – на стадии обучения) Желательно логистика, математика, экономика, коммерция Знание ПК на уровне уверенного пользователя (желательно 1С, Excel) Знание математики на уровне средней школы Коммуникабельность, аналитический склад ума, логическое мышление, Умение работать в команде, усидчивость  Условия:  Работа по графику 5/2, возможен удаленный формат работы З/п до 47 000 руб. и выше Трудоустройство в соответствии с ТК РФ, полный соц. пакет ",0.0
86448693,"{'id': '5627550', 'name': 'Платинум Консалтинг', 'url': 'https://api.hh.ru/employers/5627550', 'alternate_url': 'https://hh.ru/employer/5627550', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5627550', 'accredited_it_employer': False, 'trusted': True}",Руководитель отдела развития,False,,,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'fullDay', 'name': 'Полный день'}","['Аналитическое мышление', 'Коммерческая недвижимость', 'Деловая коммуникация', 'Ведение переговоров', 'Ориентация на результат', 'Стратегическое мышление', 'Аналитические способности', 'Поиск объектов', 'Организаторские навыки']","Крупная компания приглашает в свою команду Руководителя отдела развития Основные обязанности:  Анализ рынка коммерческой недвижимости, Анализ конкурентных преимуществ в конкретной локации, Поиск и оценка объектов недвижимости для развития розничной сети, Оценка экономической эффективности объекта коммерческой недвижимости, Выезд для осмотра объектов, Организация встреч и переговоров с собственниками объектов, Работа с технической документацией Работа с профильными инженерными службами Заключение договоров, контроль выполнения требований по договорам, Документальное сопровождение объектов, Разработка и внедрение предложения по оптимизации бизнес-процессов отдела;  Требования:  Образование высшее, Опыт работы на руководящих должностях, Опыт в подборе объектов коммерческой недвижимости, открытия торговых точек, Умение общаться с людьми и договариваться, опыт организации и проведения переговоров, Опыт проведения сделок по долгосрочной аренде/покупке недвижимости Опыт по аренде и оформлению земельных участков, Стратегическое и системное мышление, аналитический склад ума, ориентация на результат, Стрессоустойчивость, умение работать в режиме многозадачности, Честность и открытость Высокая работоспособность Дисциплинированность, навыки тайм-менеджмента Быстрая обучаемость и желание развиваться Целеустремленность, готовность поддерживать ценности и стандарты компании.  Условия:  Официальное трудоустройство по ТК РФ График работы: 5/2 Пн-Пт с 9:00 до 18:00; Сб-вс – выходные Территориальное расположение офиса: пр. Нагибина 40 Уровень ЗП обсуждается c успешным кандидатом на собеседовании ",0.0
88990564,"{'id': '10034093', 'name': 'Compound Solutions SL', 'url': 'https://api.hh.ru/employers/10034093', 'alternate_url': 'https://hh.ru/employer/10034093', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10034093', 'accredited_it_employer': False, 'trusted': True}",Senior Python Developer,False,,,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'remote', 'name': 'Удаленная работа'}",,"We are proud to be at the forefront of leveraging AI &amp; Machine Learning technology to deliver innovative solutions tailored to meet our clients&#39; unique needs.  Previously, we have been able to grow by 71% year over year. However, in 2023 alone, we’ve been able to grow by more than 400%  If you&#39;re passionate about technology and looking for a challenging and rewarding career that can take you places, Compound Group is the place for you! We are seeking a talented and experienced Senior Python Developer to join our team on a full-time basis. Our company provides custom AI development services, and we need someone who is strong in Python and has experience working in a senior role. Why this is an amazing opportunity: - Opportunity to grow. Joining our team offers the opportunity to be part of a rapidly growing business department. With a total of 15 employees, we have established a dynamic and thriving work environment. Moreover, our experience of successfully running this business model for over 6 years ensures stability and a proven track record of success.- Freedom. The position is fully remote (work from home, a co-working space, a café, etc.).- Autonomy. As long as you’re executing our processes properly, you won’t be micromanaged.- Fairness. We value open communication, directness, and transparency. We want the collaboration with our full-time freelancers to be a win-win for both sides.- Passion and purpose. Work with a passionate team that really cares about doing quality work and helping clients to make their businesses grow.- Quality. We place a big emphasis on providing high-quality service and actually getting people results. Before taking on new clients, we set realistic expectations and make sure that they understand the relationship they’re going into.- A winning culture. We focus on sustainable, optimal growth instead of just growing as fast as possible.- You will face a rational, honest, and friendly culture with a high focus on achievement. This is not for everyone. We’ve found that a lot of people do not like direct feedback about improvement areas or to have pressure to achieve specific things. However, some people understand the long-term benefits of this and value it accordingly.- We want you to perform your best and will be completely transparent with all information.- Competitive salary (depending on your level of experience). As a Senior Python Developer, you will be responsible for developing components of the AI solutions we provide to clients. Requirements: - At least 3 years of work experience with Python- At least 1 year of experience in a senior role- Ability to work independently and meet deadlines- Strong communication and problem-solving skills- This is a full-time position with 40-hours working week. If you meet these requirements and are interested in joining our team, please apply with your resume and relevant experience. We look forward to hearing from you!",0.0
86997196,"{'id': '5611431', 'name': 'АУ СОВЕТСКАЯ РАЙОННАЯ БОЛЬНИЦА', 'url': 'https://api.hh.ru/employers/5611431', 'alternate_url': 'https://hh.ru/employer/5611431', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5611431', 'accredited_it_employer': False, 'trusted': True}",Врач-гериатр,True,60000.0,150000.0,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'fullDay', 'name': 'Полный день'}",,"Наименование должности  Врач-гериатр (код А) Цель деятельности Оказание медицинской помощи пациентам пожилого и старческого возраста при наличии гериатрических синдромов и заболеваний и (или) состояний с целью сохранения или восстановления их способности к самообслуживанию, физической и функциональной активности, независимости от посторонней помощи в повседневной жизни Требования к образованию Высшее образование - специалитет по специальности &quot;Лечебное дело&quot; или &quot;Педиатрия&quot; и подготовка в ординатуре по специальности &quot;Гериатрия&quot;; Или Высшее образование - специалитет по специальности &quot;Лечебное дело&quot; или &quot;Педиатрия&quot;, подготовка в интернатуре и (или) ординатуре по специальности &quot;Общая врачебная практика (семейная медицина)&quot; или &quot;Терапия&quot; и дополнительное профессиональное образование - программы профессиональной переподготовки по специальности &quot;Гериатрия&quot;; Или Высшее образование - специалитет по специальности &quot;Лечебное дело&quot; или &quot;Педиатрия&quot; и освоение программы ординатуры по специальности &quot;Гериатрия&quot; в части, касающейся профессиональных компетенций, соответствующих обобщенной трудовой функции кода А профессионального стандарта &quot;Врач-гериатр&quot; Особые условия допуска к работе Сертификат специалиста или свидетельство об аккредитации специалиста по специальности &quot;Гериатрия&quot;. Прохождение обязательных предварительных и периодических медицинских осмотров. Отсутствие ограничений на занятие профессиональной деятельностью Обобщенная трудовая функция Оказание первичной специализированной медико-санитарной помощи пациентам пожилого и старческого возраста по профилю &quot;гериатрия&quot;. Трудовые функции 1. Проведение обследования пациентов пожилого и старческого возраста с целью установления диагноза и определения функционального статуса; 2. Назначение лечения пациентам пожилого и старческого возраста, контроль его эффективности и безопасности; 3. Проведение и контроль эффективности медицинской реабилитации пациентов пожилого и старческого возраста, в том числе разработка плана по использованию средств и методов, адаптирующих окружающую среду к функциональным возможностям пациента пожилого и старческого возраста; 4. Проведение медицинских экспертиз в отношении пациентов пожилого и старческого возраста; 5. Проведение и контроль эффективности мероприятий по первичной и вторичной профилактике старческой астении, формированию здорового образа жизни и санитарно-гигиеническому просвещению населения; 6. Проведение анализа медико-статистической информации, ведение медицинской документации, организация деятельности находящегося в распоряжении медицинского персонала; 7. Оказание медицинской помощи в экстренной форме. Личные качества терпеливость, тактичность, умение слушать других, честность, энергичность, самоконтроль, находчивость, амбициозность, стрессоустойчивость, любознательность, стремление развиваться и получать новые компетенции Условия труда 1. Постоянная работа, полная занятость; 2. 36-часов в неделю, скользящий график работы с 2 рабочими субботами в месяц; 3. По итогам проведения СОУТ рабочее место с вредными условиями труда (подкласс 3.2), в связи с чем предусмотрены компенсационные выплаты в размере 8% и дополнительный отпуск в количестве 14 календарных дней. Участие в федеральных и региональных программах Программа &quot;Земский доктор&quot;, с единовременной компенсационной выплатой 1 000 000 рублей. Обязательства: работа в учреждении в течение 5 лет. Социальные гарантии 1. Гарантированная заработная плата 60 000 – 150 000 рублей; 2. Северная надбавка 50% с момента трудоустройства; 3. Ежегодный основной отпуск 28 календарных дней; 4. Ежегодный дополнительный отпуск за работу в районах Крайнего Севера и приравненных к ним местностях 16 календарных дней; 5. Ежегодный дополнительный за работу с вредными и (или) опасными условиями труда 14 календарных дней; 6. Материальная помощь к отпуску в размере 2 ФОТ; 7. Компенсация стоимости проезда к отпуску и обратно (льготный отпуск) за счет работодателя 1 раз в 2 года; 8. Обеспечение служебным жильем (согласно очередности), а в случае его отсутствия компенсация арендной платы; Социальная поддержка  1. Единовременное пособие в размере двух должностных окладов и единовременное пособие на каждого члена семьи в размере половины должностного оклада работника по занимаемой должности (для приезжих их других регионов); 2. Оплата стоимости переезда работника и членов его семьи в автономный округ в пределах территории Российской Федерации, а также стоимости провоза багажа (для приезжих их других регионов); 3. Оплачиваемые отпуска продолжительностью семь календарных дней для обустройства на новом месте (для приезжих их других регионов); 4. Предоставление единовременных выплат в размере до двух месячных фондов оплаты труда по основной занимаемой должности молодым специалистам - выпускникам учреждений среднего и высшего профессионального образования в возрасте до 30 лет. 5. Возмещение расходов по найму жилого помещения приглашенным специалистам или предоставление жилья из специализированного жилищного фонда автономного округа. Возможности карьерного роста, развития Периодическое повышение квалификации, обучение, приобретение дополнительной специальности.",0.0
82128158,"{'id': '2748', 'name': 'Ростелеком', 'url': 'https://api.hh.ru/employers/2748', 'alternate_url': 'https://hh.ru/employer/2748', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/2812976.jpeg', '90': 'https://hhcdn.ru/employer-logo/2812975.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/592930.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2748', 'accredited_it_employer': False, 'trusted': True}","Инженер (начинающий специалист, сменный график работы)",True,45675.0,,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'shift', 'name': 'Сменный график'}",,"Обязанности: - Оказание технической поддержки клиентов сегмента B2B/B2G, решение технических проблем клиентских ТТ; - Диагностика неисправностей на сетевом оборудовании компании; - Координирование работ по устранению неисправностей в рамках клиентских ТТ; - Проведение эскалации проблем по услугам и сервисам в ответственные подразделения; - Контроль SLA. Требования: - Желателен опыт работы с серверным оборудованием; - Желание учиться и развиваться в области телекоммуникаций и ИТ в целом; - Среднее профессиональное образование/высшее (желательно техническое); - Приветствуется опыт работы в службе технической поддержки клиентов (Интернет-провайдер, хостинг-провайдеры) и/или ИТот 1 года; - Общее понимание принципов работы основных сетевых протоколов и служб (TCP/IP, DNS, DHCP, модель OSI/ISO), построения сетей передачи данных и маршрутизации трафика; - Понимание принципов работы и диагностики L2/L3 VPN каналов; - Понимание основ технологий: xDSL, FTTx, xPON, Wi-Fi; - Виртуальные технологии; - Грамотная устная и письменная речь. Условия:   - Работа в Ростелекоме —это официальное оформление и широкий соцпакет, а ещё уникальная среда и возможность отточить свое мастерство на масштабных проектах, которыми можно гордиться; - Стабильный и прозрачный доход с первого месяца: оклад + премии; - Пятидневная рабочая неделя с 9:00-18:00 или сменный график работы 2/2, 1/3; - Офис находится в г. Воронеж, ул. Плехановская, д.32, где есть всё необходимое для продуктивной и комфортной работы; - Профессиональный рост: реальная возможность получить повышение или горизонтальную ротацию в первый год благодаря опытным коллегам, наставникам и бесплатным консультациям с менторами и карьерными консультантами; - Медстраховка после испытательного срока (телемедицина),жилищная и пенсионная программы, дополнительные выплаты (к отпуску, вступление в брак, рождение ребенка),помощь корпоративного психолога и юриста; - Насыщенная жизнь внутри компании: спортивные события и турниры, лидерские программы, киберспорт, конкурсы и яркие праздники, волонтерство и благотворительность - Скидки на услуги Ростелекома, выгодные предложения от партнеров: рестораны и магазины, фитнес-центры, банки, отели и базы отдыха.",0.0
