Ids,Employer,Name,Salary,From,To,Experience,Schedule,Keys,Description,resume similarity
88917500,"{'id': '4010751', 'name': 'KVINT', 'url': 'https://api.hh.ru/employers/4010751', 'alternate_url': 'https://hh.ru/employer/4010751', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/3471582.png', '90': 'https://hhcdn.ru/employer-logo/3471581.png', 'original': 'https://hhcdn.ru/employer-logo-original/757656.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4010751', 'accredited_it_employer': False, 'trusted': True}",LLM Engineer,False,,,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'remote', 'name': 'Удаленная работа'}","['Python', 'data science', 'pytorch', 'docker', 'LLM', 'Английский язык', 'NLP', 'нейронные сети']","Компания KVINT – ведущая компания по разработке и внедрению голосовых роботов/виртуальных ассистентов. Основной продукт – голосовые виртуальные ассистенты, способные заменить живого человека на телефоне на входящих и исходящих звонках, во время которых роботы полностью имитируют живое человеческое общение по телефону, и люди не догадываются, что общаются с роботом.Решение построено на нейронных моделях, содержит технологии синтеза и распознавания речи, обработки естественного языка и управления диалогом.Мы ищем человека, который хочет принимать участие в создании крупного и интересного проекта, обладает высокой квалификацией и готов работать в команде. Если вы уверены в своих способностях и ищете новые вызовы, мы будем рады видеть вас в нашей команде!   Обязанности:  Подбор открытых LLM конкурентных с ChatGPT для ведения различных типов диалогов fine tuning LLM под заданную задачу/ домен Ускорение инференса выбранных LLM, стресс тестирование Подбор алгоритмов для семантического поиска Сравнение и подбор более качественной модели для задачи intent classification (сейчас используется BERT) Подбор решения для авторизированного формирования Базы Знаний из различных типов документов  Требования:  Отличные знания python data science, pytorch, docker Отличные знания DL в контексте работы с текстами Опыт работы с NLP (NER, Intent classification, token classification, text summarization) Опыт работы с Nvidia Triton Server Знание основных архитектур и моделей для работы с текстами Опыт работы с дисциляцией и прунингом нейронных сетей Опыт работы с LLM желателен Будет плюсом знание RLHF  Условия:  Независимость и самостоятельность в реализации задач, поощрение инициативы, гибкий менеджмент и отсутствие бюрократии Работа в команде профессионалов, обучение в рамках предметной области Крупный перспективный проект федерального масштаба с возможностями для профессионального развития Конкурентная заработная плата + бонусы Возможность работать на полной удаленке Интересные задачи и самые современные технологии Зарплатные ожидания обсуждаются на собеседовании и всегда принимаются во внимание при оффере ",0.4588314677411235
88956110,"{'id': '4649269', 'name': 'Иннотех, Группа компаний', 'url': 'https://api.hh.ru/employers/4649269', 'alternate_url': 'https://hh.ru/employer/4649269', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/3621227.png', '240': 'https://hhcdn.ru/employer-logo/3621228.png', 'original': 'https://hhcdn.ru/employer-logo-original/795085.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4649269', 'accredited_it_employer': False, 'trusted': True}",Middle Data Scientist/Senior,False,,,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'remote', 'name': 'Удаленная работа'}","['NLP', 'Hadoop', 'SQL', 'PyTorch', 'PySpark']","Вместе с нами ты будешь:  — Заниматься развитием проекта AI in Recruitment - решением задач для ассистента HR в найме и сопровождении жизненного цикла сотрудника. Рабочие задачи:  Задача матчинга - резюме и вакансии; Рекомендательные системы вакансий и резюме; Поиск по запросу на естественном языке; Автонаполнение заявок на вакансию; Прогноз выгорания и оттока сотрудников; Самостоятельное исследование и применение SOTA решений в статьях и на рынке.  Какие знания и навыки для нас важны:  Техническое высшее образование; Опыт работы DS от 3-х лет и от 2-х лет в разработке моделей NLP; Владение стандартным набором python-библиотек для ML; Опыт сбора и обработки текстовых данных (парсинг, работа с разными форматами файлов содержащими текст); Глубокие знания в NLP и опыт в построении NLP моделей (классификация/NER/matching/генерация/суммаризация); PyTorch, SQL, PySpark; HDFS, Hadoop, Jupyter, Docker; Умение говорить с бизнес-заказчиком на одном языке, переводить задачу с языка бизнеса в ML постановку; Способность самостоятельно рисерчить новые темы, читать статьи на английском и реализовывать их; Опыт визуализации данных и подготовки материалов для защиты результатов проекта. ",0.4588314677411235
88580994,"{'id': '1111058', 'name': 'Hi, Rockits!', 'url': 'https://api.hh.ru/employers/1111058', 'alternate_url': 'https://hh.ru/employer/1111058', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/857842.jpg', '90': 'https://hhcdn.ru/employer-logo/3872243.jpeg', '240': 'https://hhcdn.ru/employer-logo/3872244.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1111058', 'accredited_it_employer': False, 'trusted': True}",Senior NLP Engineer,False,,,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'remote', 'name': 'Удаленная работа'}","['Python', 'ML', 'NLP', 'Django Framework', 'Flask']","Сейчас нахожусь в поискеSenior NLP Engineer  в компанию, занимающуюся инновационной разработкой web/mobile сервисов как для себя так и на заказ для крупных корпоративных заказчиков. В планах  создать технологию, которой еще нет на рынке, которая поможет удовлетворять поисковые нужды корпоративных клиентов. Вернемся к информации о компании: внутри уже есть сервисы, которыми можно гордиться: сервис бронирования оздоровительного отдыха, телемедицина, сервис по управлению деловыми командировками. Общее количество сотрудников: 85+ и в планах расти дальше. Сейчас внутри нет человека, полностью отвечающего за NLP, поэтому ищем самостоятельного разработчика, готового генерить идеи и заниматься их воплощением. Прошу обратить внимание: компания находится в Москве и предлагает любой вариант сотрудничества: офис или гибрид, ИП или ТК РФ. Есть аккредитация. Стек: Внутри много проектов, есть много всего интересного.   Важно:  Иметь высшее образование, а если есть степень бакалавра или магистра в области компьютерных наук, это вообще круто; Опыт работы с технологиями NLP, AI, ML. Опыт работы в команде; Знания Python (Django/Flask) и опыт работы с библиотеками NLP, такими как Transformers, Bert - модели, знакомство с LangChain / LLamaIndex; Глубокое понимание методов НЛП, включая предварительную обработку текста, токенизацию, анализ настроений и распознавание сущностей; Опыт работы с фреймворками машинного обучения, такими как TensorFlow или PyTorch (будет плюсом).    Чем предстоит заниматься:  Работать с исследователями данных, инженерами по машинному обучению, экспертами в предметной области и другими членами команды для разработки и внедрения моделей и методов NLP; Cоздавать и поддерживать инфраструктуру для поддержки рабочих процессов машинного обучения; Участвовать в создании продукта &quot;с нуля&quot; с применением NLP и ML; Подготавливать четкую и лаконичную техническую документацию, чтобы обеспечить эффективный обмен знаниями внутри команды.  В планах  создать технологию, которой еще нет на рынке, которая поможет удовлетворять поисковые нужды корпоративных клиентов. Вернемся к информации о компании: внутри уже есть сервисы, которыми можно гордиться: сервис бронирования оздоровительного отдыха, телемедицина, сервис по управлению деловыми командировками. Общее количество сотрудников: 85+ и в планах расти дальше. Сейчас внутри нет человека, полностью отвечающего за NLP, поэтому ищем самостоятельного разработчика, готового генерить идеи и заниматься их воплощением. Прошу обратить внимание: компания находится в Москве и предлагает любой вариант сотрудничества: офис или гибрид, ИП или ТК РФ. Есть аккредитация. Стек: Внутри много проектов, есть много всего интересного.   Важно:  Иметь высшее образование, а если есть степень бакалавра или магистра в области компьютерных наук, это вообще круто; Опыт работы с технологиями NLP, AI, ML. Опыт работы в команде; Знания Python (Django/Flask) и опыт работы с библиотеками NLP, такими как Transformers, Bert - модели, знакомство с LangChain / LLamaIndex; Глубокое понимание методов НЛП, включая предварительную обработку текста, токенизацию, анализ настроений и распознавание сущностей; Опыт работы с фреймворками машинного обучения, такими как TensorFlow или PyTorch (будет плюсом).    Мы предлагаем:  Работу в одной из инновационной и быстрорастущей компании; Сложные задачи и большие возможности для роста внутри компании; Оформление по ТК РФ или ИП; Возможность влиять на бизнес показатели, свободу в принятии решений; Современную технику при необходимости; Удаленный или офисный формат работы (м.Комсомольская). ",0.4588314677411235
88984739,"{'id': '3529', 'name': 'СБЕР', 'url': 'https://api.hh.ru/employers/3529', 'alternate_url': 'https://hh.ru/employer/3529', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/5756157.png', '90': 'https://hhcdn.ru/employer-logo/5756156.png', 'original': 'https://hhcdn.ru/employer-logo-original/1033849.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3529', 'accredited_it_employer': False, 'trusted': True}",Senior NLP Data Scientist / GigaChat,False,,,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'fullDay', 'name': 'Полный день'}",,"Команда продаж в Телемаркетинге работает над созданием скриптов, индивидуальных для клиентов, с целью повышения качества взаимодействий с клиентом и конверсии в продажи. Мы ищем NLP Data Scientist`а для работы в продуктовой команде, для finetune и проверки гипотез с использованием генеративной модели GigaChat (аналог ChatGPT https://developers.sber.ru/portal/products/gigachat ). Обязанности  Эксперименты с LLM по улучшению качества генерируемых скриптов Использование NLP для повышения конверсии в продажи  Требования  Хорошее понимание современных архитектур нейронных сетей: BERT, T5, GPT и т. п. Понимание принципов обучения, дообучения, оценки нейронных сетей Опыт отладки нейронных сетей и модификации архитектур или создания собственных Уверенное знание Python Опыт работы с Pytorch или TF  Будет плюсом:  Опыт дообучения LLM: fine-tuning, PEFT (LoRa) Опыт распределенного обучения на нескольких GPU и серверах Опыт оптимизации или сжатия/дистилляции моделей Умение читать и разбирать статьи о новых архитектурах и подходах Опыт воспроизведения статей в коде  Условия  БК Президент Плаза, Кутузовский 32к1, метро/МЦК Кутузовская, опенспейс Профессиональное обучение, семинары, тренинги, конференции ДМС, фитнес в офисе, программы лояльности для сотрудников ",0.47140452079103173
89050119,"{'id': '2425896', 'name': 'Эвотор', 'url': 'https://api.hh.ru/employers/2425896', 'alternate_url': 'https://hh.ru/employer/2425896', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/2745099.png', '240': 'https://hhcdn.ru/employer-logo/2745100.png', 'original': 'https://hhcdn.ru/employer-logo-original/575957.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2425896', 'accredited_it_employer': False, 'trusted': True}",Data Scientist (LLM),False,,,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'remote', 'name': 'Удаленная работа'}","['NLP', 'Python', 'ML', 'PyTorch', 'REST']","Эвотор — лидер технологической трансформации малого и среднего бизнеса в России.Мы создали онлайн-кассу, которую использует каждый четвертый предприниматель страны. В маркетплейсе Эвотора уже более 850 сервисов для автоматизации бизнесаМы в поиске Data Scientist NLP, который будет участвовать в создании и развитии диалогового ассистента первой линии поддержки. Что вам предстоит:  Участие в создании AI помощника на основе обучения/файнтюнинга (SFT LoRA, RLHF) современных генеративных сеток (LLAMA2, Mistral, ChatGpt) Разработка векторизованных баз знаний с использованием LangChain, ChromaDB Работать как с классическими ML моделями, так и с передовыми SoTA архитектурами Анализировать существующие диалоги, искать недочёты, выявлять частотность и степень их влияния на успешность взаимодействия Придумывать новые схемы успешного клиентского опыта в общении с ботом Изучать специфику работы компании и службы поддержки для совершенствования сценариев Вместе с командой познавать все прелести работы с ИИ  Кого ищем:   Увлеченного ботами человека с коммерческим опытом разработки от 1+ года   Понимание теории ML и глубокого обучения, мат. статистики и теор. вера.   Опыт работы в NLP (понимание структур генеративных моделей будет большим плюсом)   Знание Python   Знание английского языка, достаточного для чтения документации   Аналитический склад ума. Умение предугадывать ветки диалога бота с пользователем   Опыт работы с RestAPI приветствуется   Стек: Python, ML-стек, Pytorch (или другие библиотеки DL)   Что предлагаем:  Аккредитованная IT-компания Удаленная работа или современный офис м. Парк Культуры Ноутбук Расширенный пакет ДМС по России (после исп. срока) Более 30 скидок для сотрудников у партнеров на услуги и товары 3 day off ",0.47140452079103173
88463833,"{'id': '3529', 'name': 'СБЕР', 'url': 'https://api.hh.ru/employers/3529', 'alternate_url': 'https://hh.ru/employer/3529', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/5756157.png', '90': 'https://hhcdn.ru/employer-logo/5756156.png', 'original': 'https://hhcdn.ru/employer-logo-original/1033849.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3529', 'accredited_it_employer': False, 'trusted': True}",ML Engineer (AI-помощник),False,,,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'fullDay', 'name': 'Полный день'}",,"Мы, команда корпоративно-инвестиционного бизнеса (КИБ) Сбера, активно развиваем направление создания и использования больших языковых моделей (LLM GigaChat). Приглашаем опытного ML-инженера для разработки и внедрения ИИ сервиса, который взаимодействует с юридическими лицами через сеть контакт-центров по всей России. Задачи:  Разработка высокоэффективных ИИ сервисов для онлайн обработки с использованием больших языковых моделей Организация процесса установки и мониторинга разработанных сервисов Поиск возможностей оптимизации, эффективности использования ресурсов Тестирование, анализ и ранжирование сильных и слабых сторон различных моделей Участие в формировании требований по улучшению моделей  Мы ожидаем:  Опыт работы с python разработкой от 3 лет Уверенное знание SQL Опыт использования нейронных сетей в промышленной эксплуатации Способность оценивать качество полученного результата Опыт работы с облачными решениями для запуска ИИ сервисов на GPU Уверенные знания в Devops / MLops. Понимание микросервисной архитектуры Английский язык на уровне чтения технической документации, профильных ресурсов, форумов  Будет плюсом:  Опыт работы с фреймворками исполнения LLM (HuggingFace, DeepSpeed , ONNX) Опыт работы с векторными базами данных Понимание принципов обработки естественного языка (NLP), разработки контента, созданного ИИ  Что предлагаем:  Действительно интересные современные и значимые для бизнеса задачи, которые приносят реальный эффект для Банка Участие в конференциях и митапах по машинному и глубокому обучению (в Москве и др. городах), обмен опытом с крутыми коллегами по всему DS сообществу Сбера Возможность поработать несколько месяцев в году в других офисах Сбера по России Корпоративное обучение и скидки на продукты экосистемы  Формат работы: офис (Кутузовский пр-т, 32к1)",0.47140452079103173
88943589,"{'id': '2180', 'name': 'Ozon', 'url': 'https://api.hh.ru/employers/2180', 'alternate_url': 'https://hh.ru/employer/2180', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/1069622.png', '240': 'https://hhcdn.ru/employer-logo/5899118.png', '90': 'https://hhcdn.ru/employer-logo/5899117.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2180', 'accredited_it_employer': False, 'trusted': True}","Data Scientist, Маркетплейс",False,,,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'fullDay', 'name': 'Полный день'}","['Python', 'PyTorch', 'Vertica']","Наши проекты направлены на нейронную сеть. Один из наших продуктов Speech to Text - модель, отвечающая за распознавание речи. Мы обрабатываем основную часть данных контента и товаров маркетплейса. Работаем с аудио, видео, изображениями и текстом, а также отвечаем за защиту контента и карточек товаров. Вам предстоит:  Разработка и обучение моделей машинного обучения для задач компьютерного зрения и NLP; Анализ и обработка данных (аудио, изображений и контента); Работа с PyTorch; Участие в R&amp;D проектах; Тестирование и оптимизация моделей; Поддержка существующих моделей.  Мы предлагаем:  Динамичный и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт на рынке e-commerce; Свободу действий в принятии решений; Достойный уровень заработной платы; Профессиональную команду, которой мы гордимся; Возможность развиваться вместе с нашим бизнесом.  Мы ожидаем от вас:  Хорошее знание Python + (библиотека NumPy) и (библиотека Transformers); Опыт работы с PyTorch; Глубокое понимание классического ML; Знание SotA моделей в области NLP и CV; Опыт работы с Triton Server, PySpark, Vertica; Желание развиваться в области компьютерного зрения и NLP.   ",0.48507125007266594
88984739,"{'id': '3529', 'name': 'СБЕР', 'url': 'https://api.hh.ru/employers/3529', 'alternate_url': 'https://hh.ru/employer/3529', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/5756157.png', '90': 'https://hhcdn.ru/employer-logo/5756156.png', 'original': 'https://hhcdn.ru/employer-logo-original/1033849.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3529', 'accredited_it_employer': False, 'trusted': True}",Senior NLP Data Scientist / GigaChat,False,,,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'fullDay', 'name': 'Полный день'}",,"Команда продаж в Телемаркетинге работает над созданием скриптов, индивидуальных для клиентов, с целью повышения качества взаимодействий с клиентом и конверсии в продажи. Мы ищем NLP Data Scientist`а для работы в продуктовой команде, для finetune и проверки гипотез с использованием генеративной модели GigaChat (аналог ChatGPT). Обязанности  Эксперименты с LLM по улучшению качества генерируемых скриптов Использование NLP для повышения конверсии в продажи  Требования  Хорошее понимание современных архитектур нейронных сетей: BERT, T5, GPT и т. п. Понимание принципов обучения, дообучения, оценки нейронных сетей Опыт отладки нейронных сетей и модификации архитектур или создания собственных Уверенное знание Python Опыт работы с Pytorch или TF  Будет плюсом:  Опыт дообучения LLM: fine-tuning, PEFT (LoRa) Опыт распределенного обучения на нескольких GPU и серверах Опыт оптимизации или сжатия/дистилляции моделей Умение читать и разбирать статьи о новых архитектурах и подходах Опыт воспроизведения статей в коде  Условия  БК Президент Плаза, Кутузовский 32к1, метро/МЦК Кутузовская, опенспейс Профессиональное обучение, семинары, тренинги, конференции ДМС, фитнес в офисе, программы лояльности для сотрудников ",0.5
89050620,"{'id': '3244995', 'name': 'the_covert', 'url': 'https://api.hh.ru/employers/3244995', 'alternate_url': 'https://hh.ru/employer/3244995', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/497793.png', '90': 'https://hhcdn.ru/employer-logo/2432925.png', '240': 'https://hhcdn.ru/employer-logo/2432926.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3244995', 'accredited_it_employer': False, 'trusted': True}",ML Engineer,False,,,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'fullDay', 'name': 'Полный день'}","['LLM', 'NLP', 'Python', 'MLOps', 'PyTorch', 'Git', 'Bash', 'Docker', 'Linux']","The_covert - международная компания, мы входим в группу IT-компаний, занимающихся разработкой собственных продуктов и сервисов более 10 лет. Нашими продуктами для реализации и упрощения бизнес процессов пользуются тысячи людей по всему миру. Мы предоставляем сервисы крупным финансовым B2B и B2C платформам, кроме того у нас есть линейка продуктов, связанных с финансовой аналитикой.Ищем ML Engineer, для работы над новым проектом по разработке on-primes системы автоматизированного синтеза текстовых ответов.Чем предстоит заниматься:  Проводить прикладные исследования в области машинного обучения Заниматься дообучением (fine-tuning) LLM под определённые задачи Влиять на общую архитектуру системы Помогать в автоматизации MLOps  Что для нас важно:  Опыт работы ML Engineer 2-3 года Отличное владение Python Опыт работы с LLM. Знание классических и современных подходов к обработке естественного языка (NLP) Опыт обучения deep neural networks. Владение PyTorch. Опыт предобработки обучающих данных Способность самостоятельно изучать научные статьи на английском языке и ставить эксперименты на их основе. Сильный интерес к исследованиям в области LLMs Опыт работы с Git, Bash, Docker в ОС Linux  Будет плюсом:  Опыт MLOps Владение llama index и langchain frameworks  Мы предлагаем:  ​​​​​  Возможность получение зарплаты в у.е. Гибкое начало рабочего дня Гибридный формат работы, если ты в Тбилиси или удаленно из других локаций Компенсацию занятий спортом Полностью обеспечиваем техникой Оказываем помощь в релокации ",0.5
87761492,"{'id': '3529', 'name': 'СБЕР', 'url': 'https://api.hh.ru/employers/3529', 'alternate_url': 'https://hh.ru/employer/3529', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/5756157.png', '90': 'https://hhcdn.ru/employer-logo/5756156.png', 'original': 'https://hhcdn.ru/employer-logo-original/1033849.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3529', 'accredited_it_employer': False, 'trusted': True}",Data Scientists в направлении NLP,False,,,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'fullDay', 'name': 'Полный день'}",,"Команда по работе с данными Сбера сильно расширяется, и поэтому мы ищем Data Scientists в направлении NLP. Наши команды отвечают за работу всех направлений Сбера, разрабатывая решения для различных команд, с использованием популярных среди специалистов Data Science тех.средств. Наша основная задача – создавать информационные продукты для принятия решений на основе данных, аналитики, машинного обучения и искусственного интеллекта. Почему Сбербанк? - Сбербанк – это 90% компаний РФ в поле зрения, из них 2.5 млн наши клиенты - Более 1 млрд новых транзакций ежедневно - 75 ПБ данных - 100 Террабайт памяти и ~7200 ядер cpu в песочницах для работы DS Обязанности:  Примеры задач, которые мы решаем: работа с естественным языком и неструктурированным текстом. Распознавание и извлечение сущностей из документов для автоматизации рутинных операций и классификации документов. Автоматизированная генерация типовых документов анализ данных, связанных с клиентскими коммуникациями голосовые помощники и чат-боты новостной мониторинг разработка NLP-моделей проведение А/Б тестов.  Требования:  глубокое понимание области NLP (знание архитектур Elmo/Bert) стек: Python/ Tensorflow/ Pytorch/ Boosting/SQL понимание основных принципов и алгоритмов классического ML опыт перевода бизнес-задач в термины ML навыки написания продакшн-кода на Python.  Условия:  интересные и масштабные задачи, интеллектуальный вызов и возможность выбрать карьеру по интересам доступ к суперкомпьютеру Кристофари (61 место в рейтинге top500 суперкомпьютеров мира) работа с SOTA технологиями: обучаем CLIP и DALL&#39;e офис в центре Москвы, классная столовая, отсутствие дресс-кода тренажерный зал премиум-класса в офисе ДМС для сотрудников и скидки на медицинскую страховку для близких возможность обучения за счет компании и участие в ведущих международных конференциях скидки от компаний-партнеров.   ",0.48507125007266594
